datetime,date,open,high,low,close,volume,datetime,RSI_14,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,EMA_9,WMA_9,SMA_9,ATRr_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,VWAP_D,SUPERT_7_2.0,SUPERTd_7_2.0,SUPERTl_7_2.0,SUPERTs_7_2.0,VWAP_CROSS,SUPERTREND_CROSS,MACD_CROSS,EMA_CROSS,RSI_CROSS
2022-12-19 12:40:00,2022-12-19 12:40:00+05:30,18548.4,18549.0,18535.85,18537.3,7400,2022-12-19 12:40:00,53.15145878508696,3.397974263260247,35.36975412247291,18546.709513830356,18549.577777777777,18548.949999999997,13.869202134175838,12.487430576329643,-1.9131982667539056,14.400628843083549,18513.70897500335,18536.30131571427,1,18536.30131571427,,0,1,0,0,1
2022-12-19 12:45:00,2022-12-19 12:45:00+05:30,18537.3,18537.3,18520.0,18525.6,21150,2022-12-19 12:45:00,47.19342563462324,3.397974263260247,14.509085374371358,18542.487611064284,18544.90777777778,18547.794444444444,14.12566882570222,10.019542362282664,-3.504869184640709,13.524411546923373,18514.276905152186,18556.07974316121,-1,,18556.07974316121,0,-1,0,0,0
2022-12-19 12:50:00,2022-12-19 12:50:00+05:30,18525.6,18530.0,18516.4,18527.9,10050,2022-12-19 12:50:00,48.41752469146295,1.57676803106908,2.7909055191965244,18539.57008885143,18540.928888888888,18546.877777777776,14.086503103721407,8.15530467478311,-4.295285497712211,12.450590172495321,18514.476341594145,18550.596879257864,-1,,18550.596879257864,0,-1,0,0,0
2022-12-19 12:55:00,2022-12-19 12:55:00+05:30,18527.9,18530.0,18518.15,18525.0,9600,2022-12-19 12:55:00,46.94002720605283,1.57676803106908,2.1838367751328023,18536.656071081146,18536.553333333333,18543.449999999997,13.920380486923376,6.370442615636421,-4.864118045487121,11.234560661123542,18514.653054936207,18550.596879257864,-1,,18550.596879257864,0,-1,0,0,0
2022-12-19 13:00:00,2022-12-19 13:00:00+05:30,18525.0,18525.0,18508.9,18516.0,21150,2022-12-19 13:00:00,42.59573091498829,1.57676803106908,1.57676803106908,18532.52485686492,18531.06333333333,18538.905555555553,14.081817935112346,4.181500060858525,-5.642448480212014,9.82394854107054,18514.727932719525,18544.58058729317,-1,,18544.58058729317,0,-1,0,0,0
2022-12-19 13:05:00,2022-12-19 13:05:00+05:30,18513.6,18517.0,18506.0,18510.15,10850,2022-12-19 13:05:00,40.00406921587265,0.0,1.0511786873793865,18528.049885491935,18525.31222222222,18533.366666666665,13.854158153633295,1.9521974887538818,-6.297400841853326,8.249598330607208,18514.657947503798,18538.32554738624,-1,,18538.32554738624,-1,-1,0,0,0
2022-12-19 13:10:00,2022-12-19 13:10:00+05:30,18513.4,18520.0,18502.1,18513.4,14450,2022-12-19 13:10:00,42.11132859832839,2.1242213716813776,1.2336631342501525,18525.11990839355,18521.318888888887,18527.633333333335,14.152303753017346,0.4426049039029749,-6.245594741363387,6.688199645266362,18514.588135351634,18538.32554738624,-1,,18538.32554738624,0,-1,0,0,0
2022-12-19 13:15:00,2022-12-19 13:15:00+05:30,18513.25,18523.0,18510.0,18519.3,6850,2022-12-19 13:15:00,45.83096615771586,7.998020827742479,3.3740807331412856,18523.95592671484,18519.652222222223,18524.783333333333,14.067580103285927,-0.2745129891191027,-5.570170107508372,5.295657118389269,18514.62108481262,18538.32554738624,-1,,18538.32554738624,1,-1,0,0,0
2022-12-19 13:20:00,2022-12-19 13:20:00+05:30,18519.3,18527.75,18518.0,18525.85,3800,2022-12-19 13:20:00,49.69542344485548,17.767383795176027,9.296541998199961,18524.334741371873,18519.865555555556,18522.277777777777,13.750792356516323,-0.31072201654023957,-4.485103307943607,4.1743812914033676,18514.680102469345,18538.32554738624,-1,,18538.32554738624,0,-1,0,1,0
2022-12-19 13:25:00,2022-12-19 13:25:00+05:30,18525.85,18533.9,18521.35,18526.7,3100,2022-12-19 13:25:00,50.19201429097694,25.913113451940045,17.226172691619517,18524.807793097498,18520.75,18521.100000000002,13.662859160252962,-0.2677436532176216,-3.5536999556967914,3.28595630247917,18514.745565953654,18538.32554738624,-1,,18538.32554738624,0,-1,0,0,1
